music_id,artist_names,track_name,tempo,mean_mel,mean_rms,max_rms,mean_zcr,std_zcr,mean_centroid
165,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,89.1,-47.55,0.2345000058412552,0.5945000052452087,0.0857,0.06,1945.81
166,Jin,The Astronaut,123.05,-44.25,0.25540000200271606,0.5098000168800354,0.0789,0.05,2136.09
167,PLAVE,Pump Up The Volume!,89.1,-38.7,0.24969999492168427,0.45509999990463257,0.1149,0.07,2584.59
168,BOYNEXTDOOR,Nice Guy,117.45,-46.23,0.2574999928474426,0.5929999947547913,0.082,0.06,2179.3
169,Mitski,My Love Mine All Mine,112.35,-47.33,0.12809999287128448,0.2759000062942505,0.046,0.04,1298.15
170,ECLIPSE,Sudden Shower,136.0,-43.12,0.21330000460147858,0.42649999260902405,0.077,0.04,1972.6
171,Kim MinSeok,DrunKen Confession,123.05,-51.18,0.19200000166893005,0.534500002861023,0.0703,0.06,1840.87
172,ROSÉ,gameboy,83.35,-45.29,0.23549999296665192,0.57669997215271,0.0947,0.06,2574.47
173,HYUKOH,Wi Ing Wi Ing,123.05,-49.75,0.11190000176429749,0.3319999873638153,0.0625,0.05,1419.1
174,PLAVE,WAY 4 LUV,129.2,-43.39,0.2669999897480011,0.6243000030517578,0.0905,0.05,2351.54
175,YENA,NEMONEMO,136.0,-39.57,0.2994999885559082,0.49729999899864197,0.1243,0.08,2928.46
176,Jung Kook,Never Let Go,129.2,-42.29,0.3386000096797943,0.559499979019165,0.0678,0.05,2066.74
177,Kenshi Yonezu,Lemon,86.13,-42.39,0.23109999299049377,0.4496000111103058,0.083,0.05,1870.42
178,"G-DRAGON, ROSÉ",Without You (Feat. ROSE),123.05,-44.46,0.2079000025987625,0.4921000003814697,0.0931,0.05,2374.11
179,Geeks,Officially Missing You,92.29,-41.31,0.24979999661445618,0.46549999713897705,0.0956,0.06,2300.17
180,Nerd Connection,‎Good Night Good Dream,129.2,-43.19,0.26840001344680786,0.5012999773025513,0.0835,0.04,1877.65
181,Lim Young Woong,HERO,129.2,-39.12,0.3343000113964081,0.5795999765396118,0.0857,0.05,2201.23
182,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),172.27,-47.44,0.2084999978542328,0.516700029373169,0.0917,0.07,2233.74
183,BABYMONSTER,SHEESH,136.0,-48.35,0.2184000015258789,0.5748999714851379,0.123,0.11,2773.3
184,JANNABI,for lovers who hesitate,143.55,-46.02,0.21410000324249268,0.45489999651908875,0.0681,0.05,1751.58
185,"Loopy, OSUN, JP",OTL (OFF THE LEASH),129.2,-41.36,0.05380000174045563,0.1177000030875206,0.1514,0.07,2750.37
186,SZA,What Do I Do,73.83,-52.53,0.21559999883174896,0.6571999788284302,0.0661,0.06,1686.67
187,Sabrina Carpenter,Taste,112.35,-39.13,0.2700999975204468,0.5206999778747559,0.1271,0.07,2913.14
188,Justin Bieber,Love Yourself,99.38,-52.84,0.1356000006198883,0.4147999882698059,0.0864,0.1,1885.04
189,Chappell Roan,"Good Luck, Babe!",117.45,-43.09,0.23180000483989716,0.44609999656677246,0.0892,0.05,2264.64
190,BIGBANG,Lies,123.05,-38.43,0.11320000141859055,0.19869999587535858,0.1344,0.08,2996.15
191,Lim Jae Hyun,Rhapsody of Sadness,136.0,-42.83,0.26260000467300415,0.46540001034736633,0.08,0.05,1939.49
192,"SZA, Travis Scott",Open Arms (feat. Travis Scott),78.3,-46.56,0.186599999666214,0.4214000105857849,0.0681,0.04,1629.81
193,Lim Young Woong,Elevator,117.45,-40.7,0.2485000044107437,0.5616000294685364,0.1154,0.05,2363.15
194,OFFICIAL HIGE DANDISM,Pretender,92.29,-39.52,0.290800005197525,0.5206000208854675,0.0978,0.04,2290.53
195,"Nicky Youre, hey daisy",Sunroof,129.2,-45.06,0.21950000524520874,0.4810999929904938,0.0838,0.06,2133.47
196,"TWICE, Megan Thee Stallion",Strategy (feat. Megan Thee Stallion),112.35,-44.89,0.2612999975681305,0.617900013923645,0.1411,0.09,3039.63
197,NCT WISH,Steady,129.2,-45.18,0.23240000009536743,0.45089998841285706,0.0926,0.07,2425.34
198,Nerd Connection,Silently Completely Eternally,112.35,-54.01,0.12790000438690186,0.33329999446868896,0.0516,0.04,1203.09
199,LE SSERAFIM,Smart,112.35,-47.18,0.25029999017715454,0.608299970626831,0.0924,0.07,2615.23
200,Jung Kook,Yes or No,112.35,-42.68,0.30790001153945923,0.6043999791145325,0.1152,0.11,2780.2
201,Leina,utatane,136.0,-41.26,0.21940000355243683,0.3776000142097473,0.0826,0.05,2358.36
202,fromis_9,DM,123.05,-40.51,0.33799999952316284,0.626800000667572,0.1107,0.06,2747.86
203,MAKTUB,시작의 아이 ハジマリのコ (Starting With You),152.0,-41.81,0.25859999656677246,0.5083000063896179,0.0946,0.07,2225.6
204,"BSS, Lee Young Ji",Fighting (Feat. Lee Young Ji),152.0,-38.67,0.28130000829696655,0.5303999781608582,0.1416,0.08,3083.39
205,ROSÉ,3am,152.0,-43.63,0.18719999492168427,0.4334999918937683,0.0805,0.04,2346.11
206,MEOVV,MEOW,129.2,-47.15,0.28619998693466187,0.7001000046730042,0.1029,0.09,2570.24
207,BOYNEXTDOOR,But Sometimes,95.7,-40.08,0.3057999908924103,0.5648000240325928,0.1131,0.09,2735.76
208,"DEAN, Gaeko",D (Half Moon),172.27,-45.29,0.27079999446868896,0.5990999937057495,0.0823,0.05,2083.83
209,Sabrina Carpenter,Please Please Please,107.67,-46.78,0.1881999969482422,0.6086999773979187,0.0879,0.06,2154.49
210,Izi,응급실,69.84,-40.89,0.10670000314712524,0.17579999566078186,0.0829,0.06,2106.52
211,TAEYEON,To. X,95.7,-42.83,0.24210000038146973,0.4399000108242035,0.083,0.06,2255.63
212,Yorushika,ただ君に晴れ,143.55,-37.52,0.23649999499320984,0.42010000348091125,0.1413,0.07,2933.83
213,LEE MU JIN,Episode,117.45,-47.66,0.2378000020980835,0.6173999905586243,0.0937,0.06,2411.93
214,BIG Naughty,Vancouver,89.1,-47.66,0.25130000710487366,0.6855999827384949,0.0769,0.06,2057.96
215,D.O.,That's okay,129.2,-51.97,0.20149999856948853,0.4763000011444092,0.0637,0.07,1900.97
216,Bruno Mars,Just the Way You Are,107.67,-44.23,0.21619999408721924,0.491100013256073,0.1156,0.08,2671.65
217,Coldplay,Viva La Vida,136.0,-40.1,0.06379999965429306,0.12060000002384186,0.0868,0.04,1897.84
218,DPR LIVE,Jasmine,136.0,-46.34,0.15479999780654907,0.3562000095844269,0.0754,0.06,2018.31
219,DEAN,instagram,95.7,-53.02,0.17030000686645508,0.6122999787330627,0.0761,0.06,1960.23
220,"Lee Young Ji, D.O.",Small girl (feat. D.O.),86.13,-50.08,0.17229999601840973,0.5408999919891357,0.1008,0.06,2301.87
221,Lim Young Woong,Trust in me,95.7,-49.56,0.21160000562667847,0.5135999917984009,0.0615,0.04,1351.64
222,"PSY, Lena Park",What Would Have Been? (Feat. Lena Park),107.67,-43.87,0.2160000056028366,0.4909999966621399,0.1071,0.09,2471.86
223,Oasis,Don't Look Back in Anger - Remastered,161.5,-35.28,0.2632000148296356,0.41339999437332153,0.1163,0.04,2139.81
224,"LeeHi, Wonstein",H.S.K.T. (feat. Wonstein),112.35,-45.87,0.2799000144004822,0.5516999959945679,0.0693,0.05,1903.35
225,BIGBANG,WE LIKE 2 PARTY,89.1,-43.0,0.275299996137619,0.5602999925613403,0.1132,0.07,2367.88
226,"Car, the garden",나무,143.55,-46.48,0.21690000593662262,0.47360000014305115,0.0769,0.05,2048.33
227,BOYNEXTDOOR,"IF I SAY, I LOVE YOU",136.0,-47.52,0.1973000019788742,0.505299985408783,0.0998,0.07,2333.13
228,GFRIEND,Season of Memories,129.2,-39.82,0.24950000643730164,0.4657999873161316,0.1295,0.07,2985.74
229,NewJeans,Hurt,89.1,-46.76,0.26570001244544983,0.4717000126838684,0.0736,0.06,2236.79
